"TARIM, ORMANCILIK VE BALIKÇILIK",,
6,ENKAI,ENKA İNŞAAT VE SANAYİ A.Ş.
7,GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.
8,GLRMK,GÜLERMAK AĞIR SANAYİ İNŞAAT VE TAAHHÜT A.Ş.
9,KUYAS,KUYAŞ YATIRIM A.Ş.
10,ORGE,ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.
11,SANEL,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.
12,TURGG,TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.
13,YAYLA,YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.
14,YYAPI,YEŞİL YAPI ENDÜSTRİSİ A.Ş.
,,
,,
TOPTAN VE PERAKENDE TİCARET,,
Sıra,Kod,Şirket Unvanı
1,ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.
2,BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.
3,BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.
4,CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.
5,CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ VE TİCARET A.Ş.
6,DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.
7,DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.
8,EBEBK,EBEBEK MAĞAZACILIK A.Ş.
